date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-27,-0.4,0.1,-0.8,0.7,0.7,-1.4,-3.6,-5.5,-6.8,-8.0,-8.9
2017-12-28,-0.3,0.1,-0.8,0.6,0.6,-1.2,-3.5,-5.3,-6.7,-7.9,-9.0
2017-12-29,0.3,0.6,-0.0,-0.5,-0.5,-0.3,-2.3,-4.1,-5.7,-7.0,-8.0
2018-01-02,0.8,1.5,-0.6,-0.3,-0.3,0.2,-1.3,-3.2,-4.9,-6.1,-7.2
2018-01-03,-0.2,0.1,-1.2,0.2,0.2,0.2,-0.9,-2.8,-4.5,-5.8,-6.9
2018-01-04,-1.0,0.1,-1.5,1.4,1.4,-0.9,-1.7,-3.5,-5.2,-6.5,-7.7
2018-01-05,-1.0,0.1,-1.4,1.6,1.6,-2.0,-2.7,-4.4,-6.0,-7.4,-8.6
2018-01-08,-1.2,0.2,-2.1,2.5,2.5,-3.4,-4.4,-6.0,-7.6,-9.1,-10.3
2018-01-09,-0.1,0.6,-0.8,0.2,0.2,-2.5,-4.0,-5.4,-7.2,-8.7,-10.0
2018-01-10,0.0,1.0,-0.8,-0.3,-0.3,-1.2,-3.1,-4.4,-6.2,-7.8,-9.1
