date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-15,-0.3,1.2,-3.0,-1.2,-1.2,4.2,5.2,4.9,6.0,6.6,6.5
2017-11-16,0.7,1.1,-1.0,-0.1,-0.1,2.6,4.9,4.5,5.6,6.4,6.3
2017-11-17,-2.5,0.5,-2.6,1.8,1.8,0.1,2.8,2.5,3.4,4.3,4.3
2017-11-20,-1.5,0.6,-1.6,0.6,0.6,-1.3,1.7,1.9,2.5,3.3,3.6
2017-11-21,-0.4,1.0,-0.6,1.4,1.4,-2.2,-0.0,0.5,0.6,1.6,2.1
2017-11-22,-0.1,0.5,-0.9,0.6,0.6,-1.9,-1.1,-0.2,-0.2,0.8,1.4
2017-11-24,-0.5,1.3,-0.7,0.8,0.8,-1.7,-2.1,-0.9,-1.0,-0.1,0.6
2017-11-27,1.1,1.5,-0.9,-1.8,-1.8,0.5,-0.6,0.9,0.8,1.5,2.2
2017-11-28,-1.8,0.3,-2.3,0.9,0.9,-0.0,-1.5,-0.1,0.0,0.5,1.1
2017-11-29,-0.5,1.3,-1.2,-1.4,-1.4,1.2,0.0,1.0,1.5,1.6,2.4
