date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-05,1.0,1.2,-0.4,-0.9,-0.9,-0.4,-2.6,-3.2,-3.3,-3.0,-3.0
2017-12-06,0.1,0.9,-0.3,-1.0,-1.0,1.0,-1.3,-2.0,-2.2,-2.0,-2.0
2017-12-07,-1.6,0.4,-1.7,1.1,1.1,-0.0,-1.8,-2.7,-3.1,-3.0,-2.9
2017-12-08,0.1,0.1,-1.3,0.7,0.7,-0.6,-1.9,-3.1,-3.6,-3.6,-3.5
2017-12-11,-0.1,0.5,-0.5,-0.1,-0.1,-0.6,-1.2,-2.7,-3.3,-3.4,-3.3
2017-12-12,-2.7,0.2,-2.7,3.0,3.0,-2.8,-3.4,-5.0,-5.7,-6.0,-5.9
2017-12-13,0.9,1.9,0.0,-0.8,-0.8,-1.2,-2.0,-3.8,-4.6,-5.0,-4.9
2017-12-14,0.6,1.6,0.0,-0.0,-0.0,-0.6,-1.7,-3.2,-4.2,-4.7,-4.8
2017-12-15,-0.2,0.7,-0.9,0.7,0.7,-0.8,-2.0,-3.3,-4.5,-5.1,-5.2
2017-12-18,-0.0,0.8,-0.3,1.1,1.1,-1.1,-2.7,-3.7,-5.1,-5.8,-6.1
