date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-22,0.6,1.0,-0.1,-1.1,-0.6,-0.6,-1.3,-1.1,-0.9,-1.2,-2.1
2017-11-24,0.3,0.3,-0.2,-0.1,-0.1,-0.2,-1.0,-1.0,-0.9,-0.9,-1.8
2017-11-27,-1.0,0.2,-1.2,1.1,1.1,-0.8,-1.8,-2.0,-2.0,-1.8,-2.6
2017-11-28,-0.6,0.1,-1.0,0.7,0.7,-1.1,-2.1,-2.5,-2.5,-2.2,-3.1
2017-11-29,-0.8,0.1,-1.0,1.0,1.0,-1.6,-2.7,-3.3,-3.3,-3.1,-3.7
2017-11-30,-1.8,0.1,-2.2,2.2,2.2,-2.8,-4.0,-4.9,-5.0,-5.1,-5.4
2017-12-01,0.8,1.0,-0.8,-0.8,-0.8,-1.1,-2.7,-3.7,-4.1,-4.1,-4.3
2017-12-04,1.6,2.1,-0.3,-0.8,-0.8,0.1,-1.5,-2.6,-3.1,-3.3,-3.3
2017-12-05,0.8,0.8,-0.2,-0.4,-0.4,0.7,-0.7,-1.9,-2.5,-2.7,-2.6
2017-12-06,0.7,1.0,-0.7,0.2,0.2,0.6,-0.7,-1.8,-2.5,-2.7,-2.7
