date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-29,-0.9,0.7,-1.6,2.3,2.3,-4.0,-4.7,-5.3,-4.5,-4.1,-4.1
2017-11-30,1.6,2.0,-0.3,-0.4,0.0,-2.9,-4.2,-5.0,-4.4,-4.0,-4.0
2017-12-01,0.5,1.5,-2.1,-0.2,-0.2,-1.5,-3.5,-4.3,-4.1,-3.7,-3.5
2017-12-04,-0.7,0.9,-0.8,3.4,3.4,-3.0,-5.8,-6.9,-7.1,-6.7,-6.5
2017-12-05,0.6,1.3,-0.3,-0.4,-0.4,-1.5,-4.6,-5.8,-6.4,-6.1,-5.9
2017-12-06,0.3,1.2,-0.2,-1.0,-1.0,-0.2,-2.9,-4.3,-5.2,-4.9,-4.8
2017-12-07,0.4,0.7,-1.4,0.5,0.5,-0.3,-2.6,-4.3,-5.3,-5.2,-5.1
2017-12-08,-0.1,0.1,-1.0,0.9,0.9,-0.5,-2.6,-4.6,-5.7,-5.9,-5.8
2017-12-11,0.3,0.8,-0.1,-0.4,-0.4,-0.2,-1.4,-3.7,-4.9,-5.4,-5.3
2017-12-12,0.0,0.6,-1.4,1.3,1.3,-1.3,-2.1,-4.3,-5.6,-6.4,-6.3
