date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-21,0.2,1.1,-0.2,0.3,0.3,0.8,1.7,2.0,3.4,6.2,8.0
2017-11-22,-0.3,0.4,-0.4,0.2,0.2,0.5,1.1,1.7,2.5,5.3,7.2
2017-11-24,0.3,0.5,-0.4,-0.0,-0.0,0.2,0.8,1.6,1.8,4.6,6.7
2017-11-27,-0.3,0.1,-0.6,0.4,0.4,-0.4,0.3,1.0,1.1,3.6,5.7
2017-11-28,0.0,0.4,-0.9,0.7,0.7,-0.8,-0.5,0.2,0.4,2.2,4.5
2017-11-29,-0.6,0.5,-0.8,0.8,0.8,-1.2,-1.2,-0.6,-0.3,0.9,3.2
2017-11-30,-0.1,1.1,-0.4,-0.2,-0.2,-0.7,-0.9,-0.6,-0.2,0.5,2.9
2017-12-01,-0.8,0.2,-1.2,1.1,1.1,-1.2,-1.9,-1.7,-1.2,-1.0,1.3
2017-12-04,-0.5,0.9,-0.6,0.6,0.6,-1.2,-2.3,-2.2,-1.8,-1.8,0.2
2017-12-05,0.7,1.3,-0.1,-0.8,-0.8,-0.1,-1.2,-1.4,-1.0,-0.9,0.6
