date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-10-31,-0.2,0.3,-0.4,0.3,0.3,0.4,-0.3,-0.5,-0.4,-0.6,-1.1
2017-11-01,0.6,0.8,-0.2,-0.2,-0.2,0.6,0.1,-0.2,-0.1,-0.3,-0.7
2017-11-02,1.4,1.4,-1.3,-1.6,-1.6,1.6,1.7,1.3,1.4,1.4,1.0
2017-11-03,-0.8,0.4,-1.0,1.0,1.0,0.2,0.7,0.3,0.3,0.4,0.0
2017-11-06,0.4,0.4,-0.7,-0.1,-0.1,0.2,0.8,0.4,0.4,0.5,0.2
2017-11-07,0.3,0.5,-0.5,-0.3,-0.3,0.3,1.0,0.8,0.7,0.8,0.6
2017-11-08,-0.4,0.4,-0.5,0.2,0.2,-0.1,0.6,0.5,0.4,0.5,0.4
2017-11-09,0.5,0.5,-0.6,-0.5,-0.5,0.4,0.8,1.0,0.8,0.9,0.9
2017-11-10,-0.5,0.3,-0.7,0.5,0.5,-0.2,0.1,0.5,0.3,0.4,0.4
2017-11-13,-0.4,0.8,-0.7,0.8,0.8,-0.8,-0.6,-0.2,-0.4,-0.4,-0.3
