date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-30,-1.2,0.2,-1.9,1.4,1.4,-0.6,-0.9,-1.4,-1.6,-1.9,-1.7
2017-12-01,0.6,1.3,-1.3,-0.7,-0.7,0.1,-0.1,-0.6,-0.8,-1.2,-1.0
2017-12-04,2.6,2.7,-0.0,-2.3,-2.3,1.9,2.0,1.7,1.4,1.1,1.2
2017-12-05,-0.3,1.0,-0.8,0.1,0.1,1.3,1.8,1.5,1.3,1.0,0.9
2017-12-06,0.4,0.8,-0.6,-0.2,-0.2,1.2,1.8,1.7,1.5,1.2,1.1
2017-12-07,0.1,0.5,-0.6,0.1,0.1,0.5,1.5,1.6,1.4,1.2,1.0
2017-12-08,0.0,0.4,-0.6,-0.1,-0.1,0.1,1.3,1.6,1.4,1.3,1.1
2017-12-11,-0.3,0.3,-0.8,0.5,0.5,-0.4,0.5,0.9,0.8,0.7,0.5
2017-12-12,-0.4,0.3,-1.0,1.4,1.4,-1.4,-0.9,-0.4,-0.5,-0.6,-0.8
2017-12-13,1.1,1.3,-0.5,-1.1,-1.1,-0.1,0.2,0.6,0.7,0.6,0.4
