date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-21,-3.4,1.0,-3.4,1.6,1.6,-4.0,-3.4,-1.8,-0.7,-0.2,0.7
2017-12-22,-0.3,2.6,-0.8,0.3,0.3,-2.5,-3.2,-2.5,-1.1,-0.5,0.2
2017-12-26,-2.8,0.0,-3.0,3.9,3.9,-4.6,-6.4,-6.1,-4.5,-4.2,-3.7
2017-12-27,3.4,4.4,0.0,-3.0,-3.0,-0.3,-3.3,-3.2,-1.6,-1.3,-0.9
2017-12-28,-2.0,1.2,-3.2,4.1,4.1,-2.9,-6.3,-6.6,-5.5,-5.0,-4.8
2017-12-29,3.0,4.3,0.0,-2.0,-2.0,-0.4,-3.6,-4.3,-3.7,-3.0,-2.8
2018-01-02,-1.2,1.7,-2.4,3.5,3.5,-2.5,-5.5,-6.9,-7.0,-6.2,-5.9
2018-01-03,1.7,2.2,-1.0,-0.7,-0.7,-1.5,-3.9,-5.8,-6.1,-5.2,-5.2
2018-01-04,1.7,1.7,-1.2,-0.5,-0.5,-0.1,-2.3,-5.0,-5.5,-4.6,-4.5
2018-01-05,0.8,0.8,-1.5,-1.5,-1.5,1.1,-0.3,-3.1,-3.8,-3.2,-2.9
