date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-14,0.4,0.5,-0.7,-1.0,-1.0,-0.3,-1.6,-1.4,-1.2,-1.2,-0.4
2017-11-15,-0.8,0.3,-1.4,0.9,0.9,-0.6,-2.2,-2.2,-1.9,-2.0,-1.4
2017-11-16,-0.5,1.3,-0.5,-0.3,-0.3,-0.1,-1.4,-1.8,-1.6,-1.6,-1.2
2017-11-17,2.3,2.3,-0.1,-2.5,-2.5,2.1,1.2,0.6,0.7,0.9,1.1
2017-11-20,0.8,1.5,-0.2,-0.9,-0.9,2.2,2.2,1.4,1.6,1.7,1.8
2017-11-21,-0.8,0.2,-1.2,1.6,1.6,0.3,0.6,-0.2,-0.1,0.1,0.1
2017-11-22,-0.1,0.2,-0.8,-0.0,-0.0,-0.1,0.7,-0.1,-0.1,0.1,0.0
2017-11-24,1.2,1.3,-0.3,-1.5,-1.5,0.7,2.0,1.5,1.3,1.5,1.5
2017-11-27,0.6,0.9,-0.7,-0.9,-0.9,1.3,2.6,2.4,2.1,2.2,2.4
2017-11-28,-1.9,0.0,-2.7,2.0,2.0,-0.4,0.3,0.6,0.0,0.2,0.4
