date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-01,0.2,0.8,-0.2,0.3,0.3,0.4,-0.4,-1.5,-2.1,-2.7,-3.4
2017-11-02,-0.7,0.2,-1.4,0.7,0.7,-0.3,-0.7,-1.8,-2.6,-3.1,-3.8
2017-11-03,-0.3,0.1,-0.7,-0.2,-0.2,-0.2,-0.3,-1.3,-2.2,-2.7,-3.4
2017-11-06,0.6,0.9,-0.1,-0.6,-0.6,0.3,0.4,-0.5,-1.3,-1.9,-2.6
2017-11-07,1.8,2.0,-0.5,-2.0,-2.0,2.0,2.3,1.7,0.8,0.2,-0.4
2017-11-08,0.6,0.7,-0.5,-1.1,-1.1,2.5,3.1,2.8,1.9,1.4,0.8
2017-11-09,-0.5,0.6,-0.8,-0.0,-0.0,1.7,2.7,2.8,2.0,1.4,0.9
2017-11-10,0.3,0.9,-0.0,-0.1,-0.1,1.0,2.4,2.8,2.3,1.6,1.2
2017-11-13,-1.2,0.2,-1.3,0.4,0.4,0.0,1.6,2.3,1.9,1.3,0.9
2017-11-14,0.1,0.5,-0.4,-0.6,-0.6,0.3,1.9,2.7,2.5,1.9,1.5
