date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-01,-0.8,0.7,-1.2,0.1,0.1,-0.2,-0.8,-0.9,-0.8,-0.9,-1.9
2017-12-04,4.1,4.1,-0.5,-3.8,-3.8,3.0,2.9,2.8,2.9,2.9,2.1
2017-12-05,-0.3,1.3,-0.7,0.6,0.6,1.6,2.1,2.0,2.1,2.1,1.5
2017-12-06,-1.5,0.4,-1.6,1.5,1.5,-0.0,0.5,0.4,0.6,0.7,0.3
2017-12-07,0.1,0.4,-0.6,-0.4,-0.4,-0.1,0.8,0.8,0.9,1.0,0.8
2017-12-08,-0.6,0.5,-1.0,2.0,2.0,-2.1,-1.1,-1.2,-1.1,-1.0,-1.0
2017-12-11,-1.1,0.2,-1.3,1.3,1.3,-2.3,-2.1,-2.2,-2.3,-2.1,-2.2
2017-12-12,-0.3,0.5,-0.6,0.4,0.4,-1.8,-2.5,-2.4,-2.5,-2.5,-2.5
2017-12-13,0.5,0.8,-0.2,-0.3,-0.3,-0.9,-2.0,-2.0,-2.2,-2.1,-2.1
2017-12-14,0.9,1.4,-0.2,-0.8,-0.8,0.4,-1.1,-1.1,-1.3,-1.3,-1.3
