date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-13,-1.0,0.1,-1.2,0.4,0.4,0.5,1.4,1.2,0.4,-0.1,-0.5
2017-11-14,-0.2,0.0,-0.9,-0.1,-0.1,0.3,1.3,1.4,0.7,0.2,-0.3
2017-11-15,0.0,0.6,-0.5,-0.5,-0.5,0.4,1.6,1.9,1.3,0.8,0.3
2017-11-16,-0.0,0.5,-0.3,0.3,0.3,0.0,1.0,1.4,1.0,0.5,0.1
2017-11-17,-0.4,0.1,-0.8,0.1,0.1,-0.1,0.6,1.1,1.0,0.4,0.0
2017-11-20,-0.0,0.4,-0.3,0.3,0.3,-0.3,0.0,0.8,0.8,0.2,-0.2
2017-11-21,0.0,0.3,-0.3,0.5,0.5,-0.7,-0.5,0.2,0.3,-0.2,-0.5
2017-11-22,0.6,0.9,-0.4,-0.6,-0.6,0.1,-0.1,0.7,1.0,0.6,0.1
2017-11-24,0.5,0.7,-0.0,-0.4,-0.4,0.4,0.3,0.9,1.2,1.0,0.6
2017-11-27,0.1,0.6,-0.1,-0.0,-0.0,0.4,0.3,0.7,1.1,1.1,0.6
