date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-11,0.2,0.9,-0.5,0.3,0.3,-2.4,-4.2,-4.7,-5.5,-4.9,-5.1
2017-12-12,-3.6,0.3,-3.8,4.6,4.6,-4.7,-7.5,-8.2,-9.2,-8.8,-8.8
2017-12-13,-3.8,0.2,-3.9,3.9,3.9,-5.8,-9.5,-10.7,-11.8,-11.8,-11.8
2017-12-14,0.8,1.5,-0.2,-0.8,-0.8,-3.4,-7.4,-9.2,-10.3,-10.7,-10.7
2017-12-15,-3.5,0.1,-3.5,4.9,4.9,-5.5,-10.0,-12.4,-13.5,-14.4,-14.3
2017-12-18,-2.1,0.6,-3.1,2.2,2.2,-4.8,-10.2,-13.0,-14.4,-15.5,-15.5
2017-12-19,-0.3,0.7,-0.8,-0.1,-0.1,-2.9,-8.2,-11.7,-13.3,-14.7,-14.9
2017-12-20,-0.8,0.1,-1.6,1.9,1.9,-3.2,-8.1,-12.0,-13.9,-15.5,-15.9
2017-12-21,-2.1,0.9,-2.5,2.9,2.9,-3.7,-8.9,-12.9,-15.3,-16.9,-17.7
2017-12-22,0.5,1.2,-0.5,-0.4,-0.4,-2.1,-6.7,-11.1,-13.9,-15.5,-16.7
