date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-21,1.3,1.5,-0.2,-1.0,-1.0,-0.3,-3.2,-4.8,-5.8,-6.6,-7.3
2017-11-22,0.2,0.4,-0.3,-0.1,-0.1,1.1,-2.4,-4.1,-5.3,-6.0,-6.8
2017-11-24,0.3,0.6,-0.1,0.2,0.2,0.3,-2.0,-3.8,-5.1,-5.8,-6.6
2017-11-27,0.2,1.1,-0.3,0.0,0.0,0.1,-1.4,-3.3,-4.7,-5.4,-6.3
2017-11-28,-0.2,0.1,-1.0,0.2,0.2,-0.2,-1.0,-2.9,-4.3,-5.2,-6.1
2017-11-29,-0.3,0.7,-0.7,0.8,0.8,-0.8,-1.1,-3.1,-4.5,-5.6,-6.4
2017-11-30,0.9,1.2,-0.7,-0.3,-0.3,-0.3,0.0,-2.3,-3.7,-4.9,-5.7
2017-12-01,0.3,0.4,-1.2,0.1,0.1,-0.3,-0.4,-1.9,-3.4,-4.7,-5.5
2017-12-04,0.7,1.0,-0.3,-0.3,-0.3,0.2,-0.1,-1.1,-2.7,-4.0,-4.8
2017-12-05,-0.8,0.1,-0.9,0.8,0.8,-0.4,-0.9,-1.5,-3.1,-4.4,-5.3
