date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-11,-0.9,0.3,-0.9,0.7,0.7,-0.6,0.7,1.3,2.0,2.8,3.2
2017-12-12,0.3,0.7,-0.6,-0.8,-0.8,0.1,1.1,1.8,2.5,3.3,3.9
2017-12-13,0.7,0.7,-0.2,0.0,0.0,0.0,1.0,1.6,2.2,3.0,3.7
2017-12-14,0.4,0.7,-0.6,-0.2,-0.2,0.3,0.8,1.5,2.1,2.8,3.7
2017-12-15,-2.6,0.6,-3.3,3.0,3.0,-2.1,-2.2,-1.5,-1.0,-0.3,0.5
2017-12-18,-2.4,0.2,-2.6,3.8,3.8,-4.6,-5.4,-4.8,-4.5,-3.9,-3.2
2017-12-19,-1.6,0.5,-2.4,1.7,1.7,-4.6,-6.2,-6.1,-5.8,-5.4,-4.8
2017-12-20,-0.2,0.2,-1.9,1.1,1.1,-3.8,-6.3,-6.6,-6.5,-6.3,-5.8
2017-12-21,1.7,1.8,-0.4,-1.7,-1.7,-0.7,-4.0,-4.7,-4.7,-4.6,-4.2
2017-12-22,-0.8,0.7,-1.5,-0.1,-0.1,0.4,-3.1,-4.3,-4.4,-4.4,-4.0
