date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-17,-1.7,0.8,-1.8,1.5,1.5,-1.7,-1.0,1.0,2.7,3.6,4.2
2017-11-20,-0.9,0.3,-1.5,1.7,1.7,-2.7,-2.5,-0.9,0.6,1.7,2.2
2017-11-21,0.3,0.6,-0.4,-0.0,-0.0,-1.8,-2.3,-1.1,0.4,1.5,2.1
2017-11-22,-1.8,0.7,-1.8,2.0,2.0,-2.5,-3.9,-3.2,-1.8,-0.6,-0.1
2017-11-24,0.1,0.4,-0.3,-0.2,-0.2,-1.3,-3.3,-3.0,-1.8,-0.6,0.0
2017-11-27,-0.6,0.5,-0.7,1.4,1.4,-1.7,-4.0,-4.3,-3.2,-2.1,-1.3
2017-11-28,-2.3,0.0,-2.6,2.4,2.4,-3.0,-5.5,-6.2,-5.4,-4.4,-3.6
2017-11-29,-2.1,1.2,-2.1,2.2,2.2,-3.6,-6.4,-7.6,-7.3,-6.4,-5.6
2017-11-30,-1.7,0.4,-1.8,2.0,2.0,-4.0,-6.9,-8.7,-8.8,-8.1,-7.3
2017-12-01,-0.7,0.6,-1.8,0.7,0.7,-3.0,-6.3,-8.5,-9.1,-8.5,-7.8
