date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2018-01-04,-0.7,0.3,-0.9,1.3,1.3,-1.0,-1.2,-0.8,-0.6,-0.4,-0.7
2018-01-05,-0.8,0.1,-1.2,0.8,0.8,-1.4,-1.8,-1.6,-1.4,-1.1,-1.4
2018-01-08,-0.2,0.5,-0.3,-0.3,-0.3,-0.7,-1.3,-1.2,-1.0,-0.9,-1.0
2018-01-09,-0.7,0.2,-0.8,0.6,0.6,-0.9,-1.6,-1.7,-1.6,-1.5,-1.4
2018-01-10,-0.1,0.6,-0.5,-0.1,-0.1,-0.3,-1.3,-1.6,-1.5,-1.4,-1.3
2018-01-11,-0.6,0.0,-1.1,0.5,0.5,-0.5,-1.5,-1.9,-1.9,-1.8,-1.7
2018-01-12,-0.6,0.6,-0.8,0.9,0.9,-1.1,-2.0,-2.6,-2.6,-2.6,-2.4
2018-01-16,0.2,1.0,-0.4,0.1,0.1,-0.8,-1.8,-2.4,-2.6,-2.6,-2.5
2018-01-17,-0.5,0.2,-0.9,1.4,1.4,-1.6,-2.6,-3.4,-3.7,-3.8,-3.8
2018-01-18,0.9,1.3,-0.4,-0.9,-0.9,-0.3,-1.3,-2.3,-2.7,-2.8,-2.8
