date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-16,-0.7,0.2,-0.7,0.9,0.9,-0.5,-0.1,0.3,0.2,-0.8,-1.6
2017-11-17,-0.4,0.2,-0.7,-0.0,-0.0,-0.3,-0.2,0.2,0.4,-0.6,-1.4
2017-11-20,-0.7,0.9,-0.8,0.9,0.9,-0.9,-1.0,-0.8,-0.3,-1.2,-2.0
2017-11-21,-0.8,0.7,-0.8,1.1,1.1,-1.6,-2.0,-1.7,-1.4,-2.1,-2.9
2017-11-22,0.6,1.0,-0.1,-1.1,-0.6,-0.6,-1.3,-1.1,-0.9,-1.2,-2.1
2017-11-24,0.3,0.3,-0.2,-0.1,-0.1,-0.2,-1.0,-1.0,-0.9,-0.9,-1.8
2017-11-27,-1.0,0.2,-1.2,1.1,1.1,-0.8,-1.8,-2.0,-2.0,-1.8,-2.6
2017-11-28,-0.6,0.1,-1.0,0.7,0.7,-1.1,-2.1,-2.5,-2.5,-2.2,-3.1
2017-11-29,-0.8,0.1,-1.0,1.0,1.0,-1.6,-2.7,-3.3,-3.3,-3.1,-3.7
2017-11-30,-1.8,0.1,-2.2,2.2,2.2,-2.8,-4.0,-4.9,-5.0,-5.1,-5.4
