date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-02,1.2,1.3,-0.4,-1.4,-1.4,2.1,5.1,6.5,7.7,8.6,9.2
2017-11-03,0.2,0.5,-0.9,-0.5,-0.5,1.6,4.6,6.3,7.6,8.7,9.3
2017-11-06,1.3,1.5,-0.4,-1.5,-1.5,2.1,5.1,7.2,8.6,9.7,10.4
2017-11-07,-1.1,0.2,-1.2,1.1,1.1,0.4,2.9,5.3,6.7,7.9,8.7
2017-11-08,0.3,0.4,-0.5,-0.2,-0.2,0.1,2.1,4.8,6.2,7.6,8.4
2017-11-09,0.0,0.5,-0.5,-0.1,-0.1,0.0,1.6,4.2,5.7,7.1,8.1
2017-11-10,-1.1,0.4,-2.1,1.0,1.0,-0.9,0.1,2.4,4.2,5.6,6.7
2017-11-13,0.5,0.7,-0.5,-1.2,-1.2,0.5,0.9,3.1,5.0,6.4,7.6
2017-11-14,2.2,2.2,-1.5,-2.3,-2.3,2.3,2.8,4.7,6.8,8.3,9.6
2017-11-15,-1.6,0.4,-1.8,0.9,0.9,1.0,1.5,3.0,5.3,6.7,8.1
