date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-14,-0.5,0.7,-0.9,0.4,0.4,0.5,0.9,0.7,1.7,2.5,2.9
2017-11-15,0.3,0.3,-0.9,-0.3,-0.3,0.3,1.0,0.7,1.8,2.5,3.1
2017-11-16,-1.0,0.2,-1.4,1.3,1.3,-1.1,-0.4,-0.5,0.2,1.0,1.6
2017-11-17,0.4,0.9,-0.5,-0.9,-0.9,-0.0,0.4,0.5,0.9,1.6,2.3
2017-11-20,0.6,0.7,-1.1,-0.8,-0.8,0.8,1.1,1.4,1.5,2.3,3.0
2017-11-21,-0.1,0.8,-0.4,0.7,0.7,0.0,0.3,0.6,0.6,1.4,2.1
2017-11-22,0.2,1.0,-0.2,-0.2,-0.2,0.2,0.2,0.7,0.5,1.4,2.0
2017-11-24,-0.5,0.3,-0.7,0.5,0.5,-0.4,-0.4,0.1,0.0,0.7,1.3
2017-11-27,-0.1,0.4,-0.4,0.3,0.3,-0.6,-0.5,-0.3,-0.1,0.2,0.8
2017-11-28,-1.3,0.7,-1.5,1.5,1.5,-1.5,-1.8,-1.6,-1.4,-1.3,-0.7
