date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-20,1.8,2.4,0.0,-1.9,-1.9,1.1,-1.1,-1.9,-3.1,-3.8,-4.2
2017-12-21,0.1,1.4,-0.3,-0.1,-0.1,1.0,-0.5,-1.5,-2.6,-3.4,-3.9
2017-12-22,0.8,0.9,-0.2,-0.8,-0.8,1.4,0.7,-0.4,-1.5,-2.4,-2.9
2017-12-26,0.3,1.2,-0.2,-0.5,-0.5,1.3,1.3,0.0,-0.7,-1.7,-2.2
2017-12-27,0.7,0.8,-0.2,-0.4,-0.4,1.0,1.8,0.6,-0.0,-1.1,-1.7
2017-12-28,0.2,0.3,-0.7,0.1,0.1,0.5,1.7,0.6,-0.0,-1.0,-1.6
2017-12-29,0.5,0.8,0.0,-0.2,-0.2,0.4,1.7,1.1,0.4,-0.5,-1.2
2018-01-02,-2.5,0.0,-2.9,4.0,4.0,-2.9,-2.2,-2.4,-3.1,-4.0,-4.8
2018-01-03,-0.1,0.8,-0.7,0.4,0.4,-2.6,-2.5,-2.5,-3.4,-4.0,-4.9
2018-01-04,0.6,0.7,-0.5,-0.0,-0.0,-1.7,-2.4,-2.1,-3.1,-3.6,-4.5
