date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-05,0.6,1.1,-0.2,-0.8,-0.8,0.2,-0.9,-1.4,-1.0,-0.8,-0.7
2017-12-06,0.7,1.1,-0.1,-0.7,-0.7,1.0,0.0,-0.6,-0.3,-0.1,-0.0
2017-12-07,-0.2,0.1,-0.5,0.3,0.3,0.5,-0.1,-0.8,-0.6,-0.5,-0.3
2017-12-08,-0.2,0.3,-0.5,0.1,0.1,0.2,-0.1,-0.8,-0.8,-0.6,-0.5
2017-12-11,0.0,0.3,-0.3,0.4,0.4,-0.4,-0.3,-1.0,-1.2,-1.0,-0.9
2017-12-12,0.2,0.7,-0.1,-0.3,-0.3,-0.1,0.1,-0.5,-0.9,-0.7,-0.6
2017-12-13,-0.6,0.2,-0.8,0.4,0.4,-0.4,-0.2,-0.8,-1.3,-1.1,-1.0
2017-12-14,0.2,0.5,-0.0,-0.3,-0.3,-0.0,0.0,-0.4,-0.9,-0.9,-0.7
2017-12-15,0.2,0.3,-0.2,0.2,0.2,-0.1,-0.2,-0.4,-1.0,-1.0,-0.9
2017-12-18,0.3,0.9,-0.0,-0.1,-0.1,0.0,-0.1,-0.1,-0.7,-0.9,-0.8
