date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-22,-0.1,0.2,-0.8,-0.0,-0.0,-0.1,0.7,-0.1,-0.1,0.1,0.0
2017-11-24,1.2,1.3,-0.3,-1.5,-1.5,0.7,2.0,1.5,1.3,1.5,1.5
2017-11-27,0.6,0.9,-0.7,-0.9,-0.9,1.3,2.6,2.4,2.1,2.2,2.4
2017-11-28,-1.9,0.0,-2.7,2.0,2.0,-0.4,0.3,0.6,0.0,0.2,0.4
2017-11-29,-0.3,1.5,-3.2,2.6,2.6,-2.5,-2.1,-1.8,-2.3,-2.2,-2.1
2017-11-30,-1.5,0.3,-2.8,0.9,0.9,-2.8,-3.0,-2.5,-3.0,-3.1,-2.9
2017-12-01,-3.3,0.7,-3.4,2.4,2.4,-3.7,-4.9,-4.4,-4.9,-5.1,-5.0
2017-12-04,-2.2,1.0,-2.2,4.9,4.9,-5.9,-8.3,-8.3,-8.7,-9.2,-9.2
2017-12-05,0.9,2.2,-0.1,-2.0,-2.0,-2.3,-5.5,-6.1,-6.4,-7.1,-7.1
2017-12-06,3.1,3.1,-0.2,-2.3,-2.3,0.7,-2.7,-3.6,-3.9,-4.6,-4.8
