date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-28,0.6,0.6,-0.1,-0.2,-0.2,-0.2,-1.5,-2.3,-2.8,-3.9,-5.2
2017-12-29,0.6,0.6,0.0,-0.1,-0.1,0.0,-1.0,-1.9,-2.4,-3.4,-4.6
2018-01-02,1.2,1.4,-0.0,-0.8,-0.8,0.8,0.1,-0.9,-1.4,-2.3,-3.5
2018-01-03,-0.5,0.2,-0.6,0.5,0.5,0.2,-0.2,-1.2,-1.8,-2.4,-3.6
2018-01-04,-0.3,0.2,-1.1,0.8,0.8,-0.6,-0.7,-1.7,-2.4,-2.9,-4.0
2018-01-05,-0.8,0.0,-1.0,1.0,1.0,-1.3,-1.5,-2.4,-3.1,-3.6,-4.6
2018-01-08,-0.2,0.9,-0.2,-0.2,-0.2,-0.8,-1.1,-1.8,-2.6,-3.1,-4.0
2018-01-09,-0.2,0.2,-0.8,0.6,0.6,-0.9,-1.3,-2.0,-2.9,-3.4,-4.2
2018-01-10,0.5,0.7,-0.1,-0.7,-0.7,0.1,-0.6,-1.1,-2.0,-2.6,-3.2
2018-01-11,-1.5,0.0,-1.7,1.5,1.5,-1.0,-1.8,-2.2,-3.1,-3.8,-4.3
