date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-09,0.6,1.5,-0.4,-1.1,-1.1,0.6,2.0,3.3,5.7,8.4,10.4
2017-11-10,0.1,0.8,-0.8,-0.5,-0.5,0.8,2.1,3.1,5.3,8.1,10.3
2017-11-13,-1.5,0.2,-2.8,1.3,1.3,-0.5,0.6,1.3,3.2,6.0,8.2
2017-11-14,1.7,2.1,-0.4,-1.5,-1.5,0.9,1.8,2.4,4.0,6.8,9.1
2017-11-15,-0.9,0.7,-1.4,0.7,0.7,-0.1,0.4,1.4,2.9,5.3,7.6
2017-11-16,-0.9,0.4,-1.9,1.0,1.4,-1.2,-1.0,-0.0,1.1,3.1,5.5
2017-11-17,-0.5,0.8,-1.2,0.0,0.0,-0.9,-1.0,-0.2,0.7,2.4,4.8
2017-11-20,2.1,2.4,-0.8,-2.2,-2.2,1.0,1.0,1.7,2.4,4.0,6.5
2017-11-21,0.3,1.0,-0.5,-0.3,-0.3,1.2,1.2,1.8,2.3,3.7,6.1
2017-11-22,-2.2,0.7,-2.7,2.4,2.4,-0.9,-1.2,-1.0,-0.2,1.0,3.0
