date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-21,-1.7,0.4,-1.8,2.3,2.3,-1.2,-2.0,-2.9,-4.2,-5.2,-5.8
2017-12-22,1.0,1.2,-0.5,-0.8,-0.8,-0.2,-0.9,-1.9,-3.0,-4.2,-4.8
2017-12-26,0.2,0.6,-0.7,-0.5,-0.5,0.1,-0.1,-1.2,-2.1,-3.4,-4.1
2017-12-27,0.8,0.8,-0.2,-0.7,-0.7,0.7,0.5,-0.3,-1.1,-2.4,-3.2
2017-12-28,0.2,0.2,-0.5,0.2,0.2,0.6,0.4,-0.3,-1.0,-2.3,-3.2
2017-12-29,0.4,0.7,-0.7,-0.7,-0.7,0.8,1.0,0.6,-0.2,-1.4,-2.3
2018-01-02,0.8,0.9,-0.7,0.4,0.4,0.2,0.6,0.3,-0.4,-1.4,-2.4
2018-01-03,0.9,1.1,-0.0,-0.9,-0.9,0.8,1.3,1.4,0.6,-0.2,-1.3
2018-01-04,-0.6,1.1,-1.0,1.4,1.4,-0.6,-0.1,-0.0,-0.6,-1.3,-2.4
2018-01-05,0.6,0.8,-0.7,-0.5,-0.5,-0.1,0.4,0.5,0.0,-0.5,-1.6
