date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-10-31,0.1,0.6,-0.3,0.1,0.1,1.1,1.8,1.5,1.8,1.9,1.9
2017-11-01,0.7,0.7,-0.6,-0.1,-0.1,0.9,1.7,1.5,1.7,1.9,2.0
2017-11-02,0.9,1.0,-0.6,-0.8,-0.8,1.1,2.2,2.1,2.3,2.5,2.7
2017-11-03,0.5,0.7,-0.4,-0.1,-0.1,0.6,1.8,2.2,2.3,2.5,2.6
2017-11-06,1.7,1.8,-1.5,-4.0,-4.0,3.7,5.3,6.0,6.1,6.5,6.6
2017-11-07,-0.8,0.0,-2.0,0.1,0.1,2.6,4.4,5.5,5.6,6.1,6.3
2017-11-08,-0.1,0.1,-0.7,-0.2,-0.2,1.8,4.0,5.3,5.5,6.0,6.3
2017-11-09,0.5,0.8,-0.6,-0.9,-0.9,1.6,4.0,5.6,6.1,6.5,6.9
2017-11-10,0.5,0.5,-0.3,-0.4,-0.4,0.9,3.6,5.4,6.2,6.6,7.1
2017-11-13,0.4,0.7,-0.1,-0.3,-0.3,0.9,3.2,5.0,6.1,6.6,7.1
