date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-21,-0.8,0.5,-0.8,1.2,1.2,-1.2,-2.0,-2.6,-4.0,-5.4,-6.4
2017-12-22,0.3,0.5,-0.9,0.2,0.2,-0.9,-1.9,-2.4,-3.6,-5.1,-6.2
2017-12-26,-0.1,0.5,-0.7,-0.3,-0.3,-0.3,-1.3,-1.9,-2.8,-4.4,-5.5
2017-12-27,-0.2,0.0,-0.4,-0.2,-0.2,0.0,-1.0,-1.6,-2.2,-3.8,-5.0
2017-12-28,-0.2,0.1,-0.5,0.2,0.2,0.0,-0.9,-1.5,-2.2,-3.6,-4.8
2017-12-29,1.1,1.2,0.0,-0.9,-0.9,0.8,0.3,-0.4,-1.0,-2.3,-3.6
2018-01-02,-0.5,0.0,-1.0,1.3,1.3,-0.5,-0.7,-1.5,-2.0,-3.1,-4.4
2018-01-03,0.3,0.5,-0.4,-0.3,-0.3,-0.2,-0.3,-1.0,-1.5,-2.3,-3.7
2018-01-04,-0.7,0.8,-1.0,1.3,1.3,-1.2,-1.3,-2.1,-2.6,-3.2,-4.6
2018-01-05,0.1,0.3,-0.9,0.5,0.5,-1.3,-1.5,-2.2,-2.8,-3.4,-4.6
