date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-29,0.1,0.6,-0.0,-0.2,-0.2,0.0,0.3,-0.0,-0.9,-1.1,-1.4
2018-01-02,0.2,0.4,-0.5,0.5,0.5,-0.3,-0.3,-0.3,-1.3,-1.5,-1.8
2018-01-03,-0.3,0.2,-0.4,0.5,0.5,-0.6,-0.7,-0.7,-1.4,-1.8,-2.1
2018-01-04,-0.6,0.6,-0.6,0.9,0.9,-1.1,-1.5,-1.5,-2.0,-2.6,-2.8
2018-01-05,-0.6,0.2,-0.9,1.2,1.2,-1.8,-2.4,-2.5,-2.9,-3.5,-3.8
2018-01-08,-0.1,0.3,-0.8,0.1,0.1,-1.3,-2.2,-2.3,-2.6,-3.4,-3.7
2018-01-09,0.5,0.6,-0.4,-0.1,-0.1,-0.7,-1.8,-2.1,-2.4,-3.2,-3.4
2018-01-10,0.0,0.4,-0.5,-0.5,-0.5,0.1,-1.1,-1.6,-1.8,-2.4,-2.9
2018-01-11,0.1,0.1,-1.0,0.3,0.3,0.0,-1.1,-1.7,-1.9,-2.4,-3.0
2018-01-12,-1.0,0.2,-1.3,1.7,1.7,-1.3,-2.3,-3.1,-3.3,-3.8,-4.4
