date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-28,-2.2,0.2,-3.0,3.1,3.1,-3.6,-7.4,-11.7,-15.4,-17.6,-19.4
2017-12-29,2.2,2.6,-1.5,-1.6,-1.6,-1.2,-4.4,-8.8,-12.7,-15.3,-17.1
2018-01-02,-3.6,0.1,-4.0,4.3,4.3,-3.5,-6.9,-10.9,-14.8,-17.6,-19.5
2018-01-03,1.7,2.0,-1.6,-1.5,-1.5,-1.2,-4.4,-8.0,-12.2,-15.3,-17.3
2018-01-04,-0.6,0.4,-2.1,1.4,1.4,-1.5,-4.5,-7.9,-12.0,-15.3,-17.4
2018-01-05,-1.1,0.1,-1.9,0.8,0.8,-1.7,-4.1,-7.5,-11.3,-14.8,-17.1
2018-01-08,0.8,0.9,-0.5,-0.5,-0.5,-0.4,-2.9,-5.8,-9.6,-13.2,-15.8
2018-01-09,4.5,4.6,-0.4,-4.5,-4.5,3.4,2.1,-0.7,-4.3,-8.1,-11.0
2018-01-10,-2.3,1.2,-2.6,3.1,3.1,0.3,-0.5,-3.0,-6.1,-9.8,-12.8
2018-01-11,-1.2,0.3,-2.6,1.9,1.9,-1.4,-1.8,-3.9,-6.8,-10.3,-13.5
