date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-02,-0.2,0.2,-0.3,0.2,0.2,0.1,0.4,0.7,0.5,0.1,-0.1
2017-11-03,0.0,0.4,-0.1,0.2,0.2,-0.2,0.1,0.5,0.3,-0.0,-0.3
2017-11-06,1.0,1.0,-0.1,-1.1,-1.1,0.8,1.1,1.4,1.4,1.1,0.8
2017-11-07,-1.2,0.0,-1.4,1.0,1.0,-0.3,-0.0,0.3,0.4,0.2,-0.2
2017-11-08,-0.4,0.0,-0.7,0.5,0.5,-0.6,-0.5,-0.3,-0.1,-0.3,-0.6
2017-11-09,-0.2,0.3,-0.5,0.1,0.1,-0.6,-0.6,-0.4,-0.2,-0.3,-0.7
2017-11-10,-0.7,0.2,-0.9,0.7,0.7,-1.0,-1.2,-1.1,-0.8,-0.9,-1.2
2017-11-13,-0.3,0.2,-0.4,0.4,0.4,-0.9,-1.4,-1.4,-1.2,-1.2,-1.4
2017-11-14,-1.5,0.1,-1.7,1.5,1.5,-1.7,-2.6,-2.7,-2.6,-2.5,-2.8
2017-11-15,1.1,1.4,-0.1,-1.3,-1.3,-0.1,-1.1,-1.3,-1.2,-1.2,-1.4
