date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-04,-0.1,1.1,-0.3,0.8,0.8,-2.2,-3.6,-4.1,-4.0,-3.9,-3.4
2017-12-05,0.2,1.2,-0.4,-0.0,-0.0,-1.2,-3.0,-3.8,-3.8,-3.7,-3.4
2017-12-06,1.8,1.8,-0.9,-1.4,-1.4,0.6,-1.3,-2.2,-2.3,-2.4,-2.1
2017-12-07,1.0,1.7,-0.3,-1.3,-1.3,1.7,0.2,-0.7,-1.0,-1.1,-0.9
2017-12-08,-0.6,0.3,-1.1,0.8,0.8,0.7,-0.3,-1.3,-1.8,-1.8,-1.7
2017-12-11,-0.4,0.5,-1.0,0.8,0.8,-0.3,-0.7,-1.8,-2.4,-2.5,-2.4
2017-12-12,0.3,0.4,-1.2,-0.3,-0.3,-0.3,-0.1,-1.2,-1.9,-2.0,-2.1
2017-12-13,-0.3,0.5,-0.8,0.6,0.6,-0.8,-0.4,-1.6,-2.3,-2.5,-2.6
2017-12-14,1.4,1.7,-0.2,-1.4,-1.4,0.7,0.9,-0.0,-0.7,-1.1,-1.2
2017-12-15,-0.4,0.2,-1.6,1.2,1.2,-0.3,-0.3,-0.9,-1.7,-2.2,-2.3
