date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-06,0.8,1.0,-0.1,-0.8,-0.8,0.3,1.0,-0.9,-2.1,-2.9,-3.8
2017-11-07,0.1,0.3,-0.4,-0.1,-0.1,0.4,0.9,-0.4,-1.7,-2.5,-3.4
2017-11-08,0.0,0.4,-0.2,-0.1,-0.1,0.5,0.7,0.0,-1.3,-2.2,-3.1
2017-11-09,0.1,0.4,-0.6,-0.6,-0.6,0.8,1.1,0.9,-0.4,-1.3,-2.2
2017-11-10,0.0,0.4,-0.6,-0.4,-0.4,0.8,1.2,1.5,0.2,-0.7,-1.5
2017-11-13,-0.7,0.1,-0.9,0.3,0.3,0.2,0.7,1.4,0.1,-0.9,-1.6
2017-11-14,-0.5,0.3,-1.1,0.5,0.5,-0.3,0.2,0.7,-0.1,-1.1,-1.9
2017-11-15,0.3,0.5,-0.6,-0.8,-0.8,0.3,0.9,1.3,0.9,-0.1,-0.9
2017-11-16,-0.7,0.2,-0.7,0.9,0.9,-0.5,-0.1,0.3,0.2,-0.8,-1.6
2017-11-17,-0.4,0.2,-0.7,-0.0,-0.0,-0.3,-0.2,0.2,0.4,-0.6,-1.4
