date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-01,0.7,2.0,-2.0,-1.9,-1.9,-2.0,-3.8,-4.5,-5.6,-6.1,-5.0
2017-12-04,1.8,2.2,-2.1,-4.6,-4.6,3.1,1.0,0.1,-0.9,-1.5,-0.7
2017-12-05,1.3,1.6,-0.7,-0.9,-0.9,3.6,2.0,1.0,0.4,-0.4,0.0
2017-12-06,-1.1,0.3,-1.7,0.5,0.5,2.5,1.5,0.6,0.0,-0.7,-0.7
2017-12-07,0.1,0.3,-2.2,-0.4,-0.4,1.4,1.8,1.1,0.6,-0.2,-0.5
2017-12-08,0.0,1.0,-3.0,2.8,2.8,-2.0,-0.6,-1.4,-1.9,-2.7,-3.3
2017-12-11,-0.2,0.7,-0.7,-0.0,-0.0,-1.6,-0.2,-1.2,-1.7,-2.5,-3.1
2017-12-12,0.0,0.5,-0.9,-0.3,-0.3,-0.8,0.1,-0.6,-1.3,-1.9,-2.5
2017-12-13,1.6,1.8,-0.9,-1.7,-1.7,1.0,1.6,1.1,0.4,-0.1,-0.7
2017-12-14,1.2,1.5,-0.5,-1.1,-1.1,2.1,1.9,2.2,1.7,1.2,0.5
