date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2018-01-04,-1.3,0.4,-1.4,2.0,2.0,-3.3,-4.5,-4.7,-4.6,-4.5,-4.8
2018-01-05,-0.0,0.3,-0.9,0.5,0.5,-2.7,-4.3,-4.8,-4.8,-4.7,-5.0
2018-01-08,-0.5,0.3,-1.1,0.6,0.6,-2.1,-4.2,-5.0,-5.0,-5.1,-5.3
2018-01-09,0.0,0.4,-0.5,0.2,0.2,-1.1,-3.7,-4.7,-5.0,-5.1,-5.3
2018-01-10,-0.8,0.1,-1.0,0.2,0.2,-0.6,-3.2,-4.5,-4.9,-5.1,-5.2
2018-01-11,0.4,0.5,-0.5,0.0,0.0,-0.3,-2.6,-4.1,-4.7,-4.9,-5.0
2018-01-12,0.5,1.0,-0.1,-0.6,-0.6,0.4,-1.4,-3.0,-3.8,-4.0,-4.2
2018-01-16,0.8,0.9,-0.3,0.4,0.4,-0.0,-1.2,-2.9,-3.9,-4.2,-4.4
2018-01-17,-0.4,0.3,-0.8,2.9,2.9,-2.3,-3.1,-5.1,-6.2,-6.6,-6.9
2018-01-18,0.5,1.2,-0.6,0.3,0.3,-2.0,-2.8,-4.7,-6.0,-6.5,-6.9
