date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-12-15,-0.8,0.2,-1.9,1.7,1.7,-0.2,-1.9,-2.4,-3.0,-3.3,-3.5
2017-12-18,1.2,1.8,-0.2,-0.6,-0.6,0.3,-1.0,-1.5,-2.2,-2.7,-2.8
2017-12-19,1.0,1.3,-0.1,-1.0,-1.0,1.0,0.2,-0.2,-1.0,-1.6,-1.7
2017-12-20,-0.6,1.0,-0.8,-0.5,-0.5,0.9,0.8,0.3,-0.4,-0.9,-1.2
2017-12-21,1.0,1.8,-0.1,-1.3,-1.3,1.9,2.3,1.6,1.0,0.5,0.2
2017-12-22,0.1,0.9,-0.5,-0.4,-0.4,1.6,2.6,1.8,1.5,1.0,0.6
2017-12-26,-0.2,0.5,-0.5,-0.0,-0.0,0.9,2.3,1.8,1.6,1.0,0.6
2017-12-27,-0.3,0.6,-0.6,0.4,0.4,0.1,1.5,1.4,1.3,0.7,0.3
2017-12-28,0.8,1.0,-0.6,-0.7,-0.7,0.4,1.7,2.1,1.9,1.5,1.0
2017-12-29,0.9,1.5,-0.0,-1.2,-1.2,1.2,2.5,3.3,2.9,2.6,2.2
