date,open,high,low,close,adj-close,inc-5,inc-10,inc-15,inc-20,inc-25,inc-30
2017-11-14,0.1,0.5,-0.4,-0.6,-0.6,0.3,1.9,2.7,2.5,1.9,1.5
2017-11-15,-1.8,0.6,-2.3,0.9,0.9,-0.5,0.7,1.5,1.5,1.0,0.6
2017-11-16,0.1,0.6,-0.2,0.3,0.3,-0.6,0.1,1.0,1.3,0.8,0.4
2017-11-17,-0.3,0.3,-0.6,-0.3,-0.3,-0.2,0.1,1.1,1.5,1.2,0.7
2017-11-20,-0.6,0.1,-1.3,0.9,0.9,-0.8,-1.0,0.0,0.6,0.4,-0.0
2017-11-21,0.6,0.6,-0.0,-0.1,-0.1,-0.4,-0.9,0.0,0.6,0.5,0.1
2017-11-22,0.4,0.9,-0.1,-0.3,-0.3,-0.0,-0.5,0.2,0.8,0.9,0.4
2017-11-24,0.5,0.6,-0.1,-0.3,-0.3,0.3,-0.1,0.3,0.9,1.2,0.9
2017-11-27,0.4,1.2,0.0,-0.4,-0.4,0.6,0.4,0.4,1.1,1.5,1.3
2017-11-28,-3.1,0.3,-3.3,3.5,3.5,-2.3,-2.7,-2.9,-2.3,-1.8,-2.0
