วันที่,เปิด,สูงสุด,ต่ำสุด,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-10-31,0.2,0.4,-0.2,-0.1,-0.1,-0.2,0.0,-0.3,-0.5,-0.9,-1.5
2017-11-01,0.4,0.7,-0.2,0.3,0.3,-0.3,-0.2,-0.4,-0.7,-1.1,-1.6
2017-11-02,-1.1,0.0,-1.4,1.1,1.1,-1.2,-1.1,-1.4,-1.7,-2.0,-2.5
2017-11-03,0.6,0.6,-0.6,-0.3,-0.3,-0.5,-0.8,-0.9,-1.3,-1.5,-2.0
2017-11-06,0.7,0.9,-0.0,-0.6,-0.6,0.1,-0.3,-0.3,-0.6,-0.9,-1.3
2017-11-07,-0.1,0.6,-0.3,0.3,0.3,0.0,-0.5,-0.5,-0.8,-1.1,-1.4
2017-11-08,0.2,0.6,-0.2,-0.4,-0.4,0.4,-0.0,-0.1,-0.3,-0.6,-1.0
2017-11-09,1.6,1.7,-0.2,-1.6,-1.6,1.5,1.5,1.5,1.3,1.0,0.7
2017-11-10,-0.1,0.3,-0.1,-0.2,-0.2,1.2,1.6,1.5,1.5,1.2,1.0
2017-11-13,0.8,0.8,-0.1,-0.9,-0.9,1.6,2.3,2.2,2.3,2.1,1.9
