วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-10-26,7.0,9.4,-0.6,-4.7,-4.7,4.7,6.0,6.4,5.2,3.6,1.9
2017-10-27,1.8,2.8,-0.5,-2.2,-2.2,5.2,7.2,8.2,7.5,5.9,4.3
2017-10-30,0.8,0.9,-0.9,-0.7,-0.7,4.3,6.9,8.4,8.2,6.6,5.1
2017-10-31,0.9,1.7,-0.1,-0.9,-0.9,3.1,6.7,8.5,8.8,7.5,6.3
2017-11-01,0.3,0.8,-1.0,2.2,2.2,-0.5,3.6,5.5,6.1,5.3,4.2
2017-11-02,0.9,1.2,-0.6,-1.0,-1.0,0.0,3.7,5.8,6.9,6.4,5.3
2017-11-03,-0.2,0.3,-1.4,0.2,0.2,-0.2,2.6,4.9,6.3,6.2,5.1
2017-11-06,-0.1,1.2,-0.5,0.1,0.1,-0.2,1.7,4.1,5.8,6.0,5.0
2017-11-07,2.3,2.3,-0.1,-2.2,-2.2,1.9,2.9,5.7,7.5,8.1,7.3
2017-11-08,0.1,1.3,-1.1,-0.2,-0.2,1.4,2.1,5.0,7.0,7.9,7.4
