วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-12-14,1.4,1.7,-0.0,-0.8,-0.8,1.0,0.9,-0.5,-1.8,-2.8,-3.1
2017-12-15,-0.3,0.4,-0.9,1.4,1.4,-0.4,-0.4,-1.4,-2.9,-3.8,-4.3
2017-12-18,0.2,0.6,-0.4,0.8,0.8,-0.9,-1.2,-1.6,-3.2,-4.2,-4.8
2017-12-19,0.8,0.9,-0.1,-0.4,-0.4,-0.5,-0.7,-0.9,-2.4,-3.5,-4.3
2017-12-20,1.4,1.5,-0.0,-0.3,-0.3,-0.1,-0.2,-0.4,-1.7,-2.8,-3.7
2017-12-21,-1.1,0.2,-1.2,1.6,1.6,-1.0,-1.5,-1.7,-2.9,-4.0,-4.9
2017-12-22,0.7,0.9,-0.6,-0.4,-0.4,-0.4,-1.0,-1.2,-2.1,-3.3,-4.3
2017-12-26,0.2,0.9,-0.6,-0.4,-0.4,-0.0,-0.5,-0.8,-1.3,-2.6,-3.6
2017-12-27,-0.5,0.1,-0.5,0.2,0.2,-0.1,-0.6,-0.9,-1.2,-2.5,-3.5
2017-12-28,-0.4,0.0,-0.6,0.5,0.5,-0.3,-0.9,-1.3,-1.5,-2.7,-3.6
