วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-29,-0.2,0.3,-0.9,0.4,0.4,-1.1,-1.6,0.8,2.8,4.8,8.0
2017-11-30,1.5,1.6,-0.6,-1.0,-1.0,0.0,-0.6,1.2,3.3,5.1,8.2
2017-12-01,2.3,2.3,-0.1,-2.3,-2.3,2.0,1.5,2.7,5.2,6.8,9.7
2017-12-04,0.3,0.6,-0.4,0.4,0.4,1.4,1.0,1.4,4.1,5.7,8.1
2017-12-05,0.1,1.4,-0.5,-1.0,-1.0,1.7,1.9,2.0,4.6,6.3,8.4
2017-12-06,-0.3,1.0,-0.4,-0.6,0.1,0.8,1.8,1.8,3.8,5.6,7.5
2017-12-07,0.5,2.0,-0.5,0.3,0.3,0.0,1.3,1.3,2.8,4.8,6.5
2017-12-08,0.1,0.6,-0.3,0.0,0.0,-0.0,1.1,1.2,2.2,4.3,5.9
2017-12-11,-0.2,0.8,-0.6,-0.4,-0.4,0.1,1.3,1.4,1.8,4.2,5.7
2017-12-12,0.2,0.8,-1.5,1.5,1.5,-1.0,-0.4,-0.1,0.1,2.2,3.7
