วันที่,เปิด,สูงสุด,ต่ำสุด,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2018-01-03,-0.8,0.3,-1.3,0.7,0.7,-1.6,-2.8,-4.2,-4.8,-5.4,-6.1
2018-01-04,-0.1,0.2,-0.7,-0.3,-0.3,-0.9,-1.9,-3.4,-4.2,-4.7,-5.5
2018-01-05,0.1,0.2,-0.6,-0.2,-0.2,-0.3,-1.2,-2.8,-3.7,-4.2,-5.0
2018-01-08,-0.5,0.1,-0.7,0.5,0.5,-0.3,-1.4,-2.9,-3.8,-4.4,-5.2
2018-01-09,0.5,0.9,-0.0,-0.5,-0.5,0.3,-0.6,-1.9,-3.0,-3.6,-4.3
2018-01-10,-0.3,0.1,-0.7,0.6,0.6,-0.4,-1.0,-2.1,-3.3,-4.0,-4.6
2018-01-11,-2.8,0.6,-2.9,3.0,3.0,-2.6,-3.4,-4.3,-5.7,-6.4,-7.0
2018-01-12,-1.1,0.2,-1.1,0.8,0.8,-2.5,-3.6,-4.4,-5.9,-6.7,-7.3
2018-01-16,1.3,1.4,-0.3,-1.2,-1.2,-0.8,-1.9,-2.9,-4.3,-5.2,-5.9
2018-01-17,-0.1,0.3,-1.1,0.3,0.3,-0.4,-1.8,-2.8,-4.0,-5.1,-5.8
