วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-10-27,-0.4,0.1,-1.4,-0.3,-0.3,0.0,0.2,0.1,0.6,0.6,0.5
2017-10-30,0.1,0.3,-0.3,-0.3,-0.3,0.2,0.4,0.3,0.8,0.8,0.8
2017-10-31,0.1,0.3,-0.4,-0.2,-0.2,0.3,0.6,0.4,0.9,1.0,1.0
2017-11-01,-0.9,0.4,-1.0,1.2,1.2,-0.7,-0.5,-0.8,-0.4,-0.2,-0.2
2017-11-02,0.5,0.8,-0.3,-0.7,-0.7,-0.0,0.1,0.0,0.2,0.5,0.5
2017-11-03,-0.3,0.8,-0.8,0.3,0.3,-0.3,-0.3,-0.2,-0.2,0.2,0.2
2017-11-06,-2.3,0.5,-2.3,2.0,2.0,-1.7,-2.1,-2.0,-2.1,-1.8,-1.8
2017-11-07,-0.3,1.3,-0.9,1.0,1.0,-1.9,-2.7,-2.7,-3.0,-2.7,-2.6
2017-11-08,0.7,0.8,-0.8,-0.4,-0.4,-1.1,-1.9,-2.1,-2.4,-2.3,-2.2
2017-11-09,-1.8,1.2,-1.8,1.5,1.5,-1.7,-3.0,-3.3,-3.6,-3.6,-3.4
