วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-10-31,0.5,0.8,-0.3,-0.4,-0.4,0.3,0.1,-0.3,0.4,0.2,-0.4
2017-11-01,-0.1,0.7,-0.3,0.7,0.7,-0.3,-0.5,-1.1,-0.4,-0.4,-1.0
2017-11-02,-1.1,0.1,-1.9,1.0,1.0,-1.0,-1.2,-1.8,-1.4,-1.3,-1.8
2017-11-03,0.2,0.5,-0.3,-0.9,-0.5,-0.4,-0.6,-1.1,-1.0,-0.7,-1.1
2017-11-06,-0.3,0.3,-0.9,-0.3,-0.3,0.0,-0.2,-0.6,-0.7,-0.3,-0.7
2017-11-07,1.5,1.8,-0.5,-1.5,-1.5,1.4,1.2,1.0,0.6,1.1,0.9
2017-11-08,0.1,0.3,-1.1,-0.5,-0.5,1.6,1.6,1.5,1.0,1.5,1.5
2017-11-09,-1.0,0.5,-1.4,0.1,0.1,0.9,1.3,1.3,0.9,1.2,1.3
2017-11-10,0.4,0.8,-0.2,-0.2,-0.2,0.6,1.4,1.5,1.2,1.3,1.6
2017-11-13,-0.4,0.2,-0.7,-0.4,-0.4,0.5,1.5,1.7,1.6,1.5,1.9
