วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2018-01-04,-2.0,0.5,-3.9,-1.8,-1.8,3.0,4.0,3.0,1.7,1.3,1.2
2018-01-05,-0.7,0.9,-1.9,0.7,0.7,1.7,2.7,2.5,1.1,0.6,0.4
2018-01-08,-1.1,0.2,-1.7,0.0,0.0,1.0,2.2,2.7,1.3,0.6,0.5
2018-01-09,2.5,2.8,-0.3,-2.5,-2.5,2.2,4.1,5.2,3.9,3.1,2.9
2018-01-10,2.0,2.6,-0.1,-2.6,-2.6,3.5,6.0,7.4,6.5,5.6,5.5
2018-01-11,-1.4,0.4,-2.2,2.1,2.1,0.9,3.2,4.6,4.3,3.4,3.2
2018-01-12,0.5,0.8,-0.5,-0.4,-0.4,0.6,2.9,4.4,4.7,3.8,3.5
2018-01-16,1.0,1.5,-0.6,-0.2,-0.2,0.1,2.4,4.0,4.9,4.1,3.7
2018-01-17,-1.9,0.1,-2.0,2.9,2.9,-2.4,-1.0,0.8,2.0,1.2,0.7
2018-01-18,-0.2,0.6,-0.7,0.2,0.2,-1.7,-1.4,0.3,1.6,1.1,0.5
