วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-12-27,-0.2,0.4,-0.6,0.5,0.5,-0.5,-0.4,-0.8,-1.2,-1.1,-1.6
2017-12-28,0.2,0.3,-0.1,0.3,0.3,-0.7,-0.5,-1.0,-1.4,-1.3,-1.8
2017-12-29,1.1,1.2,-0.2,-1.4,-1.4,0.6,0.8,0.5,-0.1,0.2,-0.3
2018-01-02,-1.4,0.1,-1.6,1.7,1.7,-0.7,-0.7,-1.0,-1.6,-1.5,-1.8
2018-01-03,-1.3,0.1,-1.3,1.3,1.3,-1.5,-1.9,-2.1,-2.5,-2.7,-2.8
2018-01-04,-0.4,0.5,-0.4,0.4,0.4,-1.5,-2.1,-2.3,-2.7,-3.0,-3.0
2018-01-05,-0.9,0.0,-1.6,1.6,1.6,-2.3,-3.3,-3.5,-3.9,-4.4,-4.3
2018-01-08,-0.9,0.5,-1.2,1.4,1.4,-2.5,-4.1,-4.4,-4.9,-5.5,-5.4
2018-01-09,0.3,0.5,-0.9,0.5,0.5,-1.9,-3.8,-4.5,-5.0,-5.7,-5.7
2018-01-10,-0.7,0.0,-1.4,0.1,0.1,-1.3,-3.3,-4.3,-4.8,-5.4,-5.7
