วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2018-01-08,-0.5,0.2,-1.4,0.4,0.4,-2.6,-3.7,-4.0,-4.7,-5.9,-7.1
2018-01-09,-2.5,0.5,-2.5,2.7,2.7,-3.8,-5.4,-5.9,-6.6,-7.7,-9.0
2018-01-10,-0.9,0.6,-1.5,0.6,0.6,-2.9,-5.2,-6.0,-6.6,-7.7,-8.9
2018-01-11,-1.8,0.1,-2.1,2.5,2.5,-3.3,-6.5,-7.6,-8.3,-9.3,-10.5
2018-01-12,-1.7,0.2,-1.7,2.5,2.5,-4.0,-7.6,-9.1,-9.8,-10.8,-12.0
2018-01-16,1.4,3.8,-1.1,-0.3,-0.3,-2.2,-6.1,-8.0,-8.9,-9.9,-11.1
2018-01-17,-3.8,0.3,-4.2,4.7,4.7,-4.8,-8.8,-11.1,-12.2,-13.2,-14.4
2018-01-18,3.1,3.1,-0.3,-3.1,-3.1,-0.6,-4.6,-7.4,-8.8,-9.8,-11.0
2018-01-19,1.2,1.9,-0.6,-0.7,-0.7,0.7,-2.7,-5.9,-7.5,-8.6,-9.8
2018-01-22,-0.8,1.0,-1.8,0.1,0.1,0.7,-1.9,-5.1,-7.0,-8.1,-9.3
