วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-10,-0.5,0.3,-0.7,0.5,0.5,-0.2,0.1,0.5,0.3,0.4,0.4
2017-11-13,-0.4,0.8,-0.7,0.8,0.8,-0.8,-0.6,-0.2,-0.4,-0.4,-0.3
2017-11-14,-2.6,0.0,-2.9,1.6,1.6,-1.8,-2.1,-1.7,-1.9,-1.9,-1.9
2017-11-15,1.2,1.2,-0.1,-1.5,-1.5,-0.1,-0.6,-0.2,-0.3,-0.4,-0.3
2017-11-16,-0.5,0.2,-0.9,1.2,1.2,-0.8,-1.5,-1.4,-1.4,-1.5,-1.5
2017-11-17,-0.4,0.4,-1.0,0.1,0.1,-0.5,-1.4,-1.6,-1.4,-1.6,-1.6
2017-11-20,-1.4,0.1,-1.6,1.6,1.6,-1.5,-2.6,-2.9,-2.8,-3.0,-3.1
2017-11-21,-1.3,0.0,-1.6,1.4,1.4,-2.3,-3.5,-4.0,-3.9,-4.1,-4.3
2017-11-22,0.5,0.5,-0.0,-0.5,-0.5,-1.1,-2.5,-3.3,-3.3,-3.5,-3.7
2017-11-24,-0.1,0.4,-0.3,0.2,0.2,-0.7,-2.2,-3.1,-3.3,-3.4,-3.7
