วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-12-15,0.7,1.2,-0.3,0.0,0.0,-1.2,-3.0,-4.7,-6.0,-6.9,-7.5
2017-12-18,-0.0,0.3,-0.5,0.7,0.7,-1.0,-3.1,-4.7,-6.1,-7.1,-7.8
2017-12-19,-0.3,0.1,-1.0,0.4,0.4,-0.9,-2.7,-4.4,-5.9,-7.0,-7.8
2017-12-20,0.3,0.5,-0.3,0.2,0.2,-0.7,-2.3,-4.0,-5.6,-6.7,-7.6
2017-12-21,1.0,1.1,-0.3,-1.0,-1.0,0.3,-0.9,-2.6,-4.2,-5.4,-6.3
2017-12-22,0.4,0.5,-0.7,0.0,0.0,0.4,-0.6,-2.1,-3.7,-5.0,-6.0
2017-12-26,0.1,0.7,-0.2,0.1,0.1,0.3,-0.2,-1.8,-3.3,-4.6,-5.7
2017-12-27,0.3,0.4,-0.3,0.1,0.1,0.1,-0.1,-1.4,-2.9,-4.3,-5.4
2017-12-28,-0.2,0.2,-0.5,0.2,0.2,-0.3,-0.2,-1.3,-2.7,-4.1,-5.3
2017-12-29,0.7,0.8,-0.0,-0.5,-0.5,0.2,0.3,-0.5,-1.9,-3.3,-4.4
