วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-22,0.7,0.8,-0.5,-0.8,-0.8,0.6,1.2,1.5,1.7,2.1,1.9
2017-11-24,-0.4,0.3,-0.5,0.5,0.5,-0.1,0.5,0.8,1.0,1.5,1.4
2017-11-27,-0.4,0.2,-0.4,0.1,0.7,-0.6,-0.3,0.1,0.3,0.7,0.7
2017-11-28,-1.2,0.4,-1.3,1.4,1.4,-1.6,-1.6,-1.2,-1.1,-0.8,-0.5
2017-11-29,0.3,0.6,-0.6,-0.1,-0.1,-1.1,-1.3,-1.0,-0.9,-0.7,-0.4
2017-11-30,0.5,0.7,-0.6,-0.3,-0.3,-0.3,-0.9,-0.7,-0.5,-0.4,-0.1
2017-12-01,-0.3,0.4,-1.0,0.5,0.5,-0.4,-1.2,-1.2,-1.0,-0.9,-0.5
2017-12-04,1.2,1.8,-0.1,-0.7,-0.7,0.4,-0.4,-0.5,-0.3,-0.2,0.1
2017-12-05,0.1,0.8,-0.3,0.5,0.5,-0.1,-0.7,-0.9,-0.7,-0.7,-0.5
2017-12-06,-0.2,0.6,-0.6,1.0,1.0,-0.9,-1.4,-1.8,-1.6,-1.6,-1.4
