วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-30,-0.1,1.1,-0.4,-0.2,-0.2,-0.7,-0.9,-0.6,-0.2,0.5,2.9
2017-12-01,-0.8,0.2,-1.2,1.1,1.1,-1.2,-1.9,-1.7,-1.2,-1.0,1.3
2017-12-04,-0.5,0.9,-0.6,0.6,0.6,-1.2,-2.3,-2.2,-1.8,-1.8,0.2
2017-12-05,0.7,1.3,-0.1,-0.8,-0.8,-0.1,-1.2,-1.4,-1.0,-0.9,0.6
2017-12-06,0.2,2.9,-0.3,-2.5,-2.5,2.1,1.4,1.1,1.5,1.7,2.6
2017-12-07,0.1,2.0,-0.2,0.8,0.8,1.1,0.7,0.4,0.5,0.8,1.4
2017-12-08,-0.5,0.0,-1.6,1.5,1.5,-0.4,-0.5,-1.0,-1.0,-0.6,-0.5
2017-12-11,0.0,0.5,-1.4,1.4,1.4,-1.7,-1.6,-2.2,-2.3,-1.9,-1.9
2017-12-12,-0.4,0.2,-0.8,1.3,1.3,-2.5,-2.5,-3.2,-3.3,-3.1,-3.0
2017-12-13,0.1,0.8,-0.5,-0.3,-0.3,-1.4,-1.9,-2.6,-2.9,-2.8,-2.7
