วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-12-01,-0.6,0.6,-1.3,0.4,0.4,-0.9,-1.6,-1.4,-2.1,-3.0,-3.6
2017-12-04,-3.4,2.2,-3.4,4.7,4.7,-4.0,-5.4,-5.6,-6.0,-6.9,-7.6
2017-12-05,2.2,2.6,-0.7,-2.7,-2.7,-0.6,-2.3,-2.8,-3.1,-4.0,-4.7
2017-12-06,1.6,2.4,-0.1,-1.6,-1.6,1.1,-0.5,-1.0,-1.3,-2.1,-2.9
2017-12-07,0.5,0.7,-0.7,-0.2,-0.2,1.4,-0.0,-0.7,-0.9,-1.7,-2.5
2017-12-08,0.7,0.7,-0.1,-1.0,-0.2,1.5,0.4,-0.4,-0.6,-1.2,-2.1
2017-12-11,-1.8,0.0,-1.9,2.5,2.5,-1.4,-1.6,-2.6,-2.9,-3.3,-4.2
2017-12-12,-0.3,0.4,-0.8,0.6,0.6,-1.8,-1.7,-2.8,-3.2,-3.6,-4.4
2017-12-13,0.5,0.5,-0.8,0.2,0.2,-1.4,-1.6,-2.6,-3.2,-3.5,-4.3
2017-12-14,-3.0,0.9,-3.0,2.8,2.8,-2.9,-3.6,-4.7,-5.4,-5.7,-6.4
