วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2018-01-03,0.9,1.1,-0.0,-0.9,-0.9,0.8,1.3,1.4,0.6,-0.2,-1.3
2018-01-04,-0.6,1.1,-1.0,1.4,1.4,-0.6,-0.1,-0.0,-0.6,-1.3,-2.4
2018-01-05,0.6,0.8,-0.7,-0.5,-0.5,-0.1,0.4,0.5,0.0,-0.5,-1.6
2018-01-08,1.2,1.3,-0.1,-1.5,-1.5,1.1,1.5,1.8,1.6,1.0,0.0
2018-01-09,-0.4,0.7,-0.5,0.8,0.8,0.1,0.5,0.9,0.8,0.2,-0.6
2018-01-10,0.3,0.3,-0.8,0.2,0.2,0.1,0.2,0.6,0.7,0.1,-0.5
2018-01-11,0.2,0.3,-0.8,0.3,0.3,-0.4,-0.1,0.3,0.4,-0.1,-0.6
2018-01-12,-0.5,0.1,-1.1,0.7,0.7,-1.0,-0.9,-0.4,-0.3,-0.6,-1.1
2018-01-16,0.3,1.3,-0.8,0.6,0.6,-1.0,-1.3,-1.1,-0.8,-1.0,-1.5
2018-01-17,2.9,3.3,-1.9,-1.9,-1.9,0.8,0.5,0.7,1.0,0.9,0.4
