วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-12-18,0.6,1.6,-0.1,-0.3,-0.3,0.1,-0.2,0.4,0.6,0.9,2.9
2017-12-19,1.1,1.2,-0.2,-1.0,-1.0,0.7,0.8,1.2,1.5,1.7,3.5
2017-12-20,1.0,1.1,-0.5,-0.8,-0.8,1.1,1.4,1.6,2.2,2.4,3.8
2017-12-21,-0.1,1.2,-0.2,0.1,0.1,0.8,1.2,1.2,1.9,2.1,3.2
2017-12-22,0.1,0.3,-0.6,0.2,0.2,0.3,0.9,1.0,1.6,1.8,2.6
2017-12-26,0.1,1.3,-0.2,-0.4,0.3,-0.2,0.5,0.6,1.2,1.4,1.7
2017-12-27,0.5,1.4,-0.4,-0.3,-0.3,-0.0,0.6,0.8,1.2,1.6,1.8
2017-12-28,-0.1,0.2,-0.6,-0.1,-0.1,0.1,0.5,0.9,1.1,1.6,1.8
2017-12-29,-1.0,0.5,-1.0,0.5,0.5,-0.3,-0.0,0.3,0.4,1.0,1.2
2018-01-02,-2.3,0.1,-2.5,3.0,3.0,-2.6,-2.8,-2.5,-2.5,-2.0,-1.8
