วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5,เพิ่ม10,เพิ่ม15,เพิ่ม20,เพิ่ม25,เพิ่ม30
2017-10-19,0.2,0.5,-0.3,-0.1,-0.1,0.3,0.8,0.9,0.3,-0.3,-0.7
2017-10-20,0.3,0.4,-0.4,0.1,0.1,0.1,0.5,0.7,0.3,-0.3,-0.7
2017-10-23,-0.4,0.9,-0.6,0.8,0.8,-0.7,-0.3,-0.0,-0.4,-1.0,-1.4
2017-10-24,-0.8,0.3,-0.8,0.8,0.8,-1.1,-1.1,-0.8,-1.0,-1.5,-2.0
2017-10-25,0.0,0.5,-0.4,0.0,0.0,-0.8,-1.0,-0.8,-0.9,-1.4,-1.9
2017-10-26,-0.8,0.2,-0.9,1.0,1.0,-1.2,-1.8,-1.7,-1.7,-2.1,-2.7
2017-10-27,-0.3,0.2,-0.5,-0.2,-0.2,-0.6,-1.4,-1.4,-1.4,-1.7,-2.3
2017-10-30,1.0,1.0,-0.3,-1.2,-1.2,0.7,-0.2,-0.2,-0.1,-0.4,-1.0
2017-10-31,-0.2,0.3,-0.4,0.3,0.3,0.4,-0.3,-0.5,-0.4,-0.6,-1.1
2017-11-01,0.6,0.8,-0.2,-0.2,-0.2,0.6,0.1,-0.2,-0.1,-0.3,-0.7
