วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม-5%,เพิ่ม-10%,เพิ่ม-15%,เพิ่ม-20%,เพิ่ม-25%,เพิ่ม-30
2017-10-23,-0.3,1.0,-0.3,-0.1,-0.1,-0.5,-0.4,-0.6,-1.0,-1.1,-1.4
2017-10-24,0.5,0.7,-0.8,-0.4,-0.4,-0.1,-0.1,-0.2,-0.5,-0.7,-0.9
2017-10-25,0.1,0.5,-0.7,-0.3,-0.3,0.4,0.2,0.2,-0.1,-0.3,-0.5
2017-10-26,1.0,1.3,-0.4,-1.2,-1.2,1.3,1.2,1.3,1.1,0.8,0.6
2017-10-27,-0.2,0.4,-0.6,-0.4,-0.4,1.2,1.4,1.6,1.5,1.2,1.1
2017-10-30,0.8,0.9,-0.4,-1.3,-1.3,1.8,2.4,2.7,2.7,2.4,2.3
2017-10-31,-0.0,0.8,-2.7,-0.3,-0.3,1.4,2.4,2.7,2.8,2.6,2.5
2017-11-01,-0.7,1.3,-1.0,0.6,0.6,0.3,1.6,1.9,2.1,2.0,1.9
2017-11-02,-0.5,0.1,-1.2,0.6,0.6,-0.4,0.8,1.2,1.5,1.5,1.3
2017-11-03,-0.3,0.0,-0.6,0.3,0.3,-0.7,0.3,0.8,1.1,1.2,1.0
