วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม-5%,เพิ่ม-10%,เพิ่ม-15%,เพิ่ม-20%,เพิ่ม-25%,เพิ่ม-30
2017-10-19,-0.3,0.0,-0.8,0.4,0.4,-0.4,-0.8,-1.3,-2.0,-2.2,-2.6
2017-10-20,-0.6,0.0,-1.0,0.9,0.9,-1.0,-1.5,-1.9,-2.7,-3.0,-3.3
2017-10-23,0.1,0.6,-0.2,0.1,0.1,-0.9,-1.4,-1.7,-2.5,-3.0,-3.2
2017-10-24,-2.4,1.8,-2.4,5.9,5.9,-5.0,-6.1,-6.6,-7.5,-8.0,-8.3
2017-10-25,-1.1,0.1,-1.6,1.3,1.3,-4.5,-6.4,-7.2,-8.1,-8.7,-9.0
2017-10-26,2.3,2.5,-0.3,-2.0,-2.0,-1.4,-3.8,-4.9,-5.7,-6.5,-6.9
2017-10-27,-0.2,0.1,-0.9,0.8,0.8,-1.0,-3.9,-5.1,-5.9,-6.8,-7.3
2017-10-30,1.1,1.1,-0.2,-1.6,-1.6,1.4,-1.8,-3.1,-4.0,-4.9,-5.6
2017-10-31,0.5,0.6,-0.2,-0.4,-0.4,1.4,-0.9,-2.4,-3.3,-4.3,-5.0
2017-11-01,0.4,0.7,-0.5,-0.0,-0.0,0.7,-0.4,-2.0,-3.0,-3.9,-4.7
