วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-17,-0.3,0.3,-0.6,-0.3,-0.3,-0.2,0.1,1.1,1.5,1.2,0.7
2017-11-20,-0.6,0.1,-1.3,0.9,0.9,-0.8,-1.0,0.0,0.6,0.4,-0.0
2017-11-21,0.6,0.6,-0.0,-0.1,-0.1,-0.4,-0.9,0.0,0.6,0.5,0.1
2017-11-22,0.4,0.9,-0.1,-0.3,-0.3,-0.0,-0.5,0.2,0.8,0.9,0.4
2017-11-24,0.5,0.6,-0.1,-0.3,-0.3,0.3,-0.1,0.3,0.9,1.2,0.9
2017-11-27,0.4,1.2,0.0,-0.4,-0.4,0.6,0.4,0.4,1.1,1.5,1.3
2017-11-28,-3.1,0.3,-3.3,3.5,3.5,-2.3,-2.7,-2.9,-2.3,-1.8,-2.0
2017-11-29,-1.3,0.5,-1.7,2.3,2.3,-3.6,-4.3,-4.8,-4.4,-4.0,-4.0
2017-11-30,0.2,2.0,-0.5,0.8,0.8,-3.2,-4.4,-5.1,-4.9,-4.5,-4.5
2017-12-01,0.1,0.5,-2.5,0.3,0.3,-2.2,-4.1,-4.9,-5.0,-4.7,-4.6
