วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-24,-0.4,0.1,-0.7,0.2,0.2,-0.1,1.0,2.0,1.8,-0.4,-2.2
2017-11-27,-0.2,0.3,-0.5,-0.6,-0.6,0.4,1.3,2.3,2.4,0.6,-1.3
2017-11-28,-0.2,0.2,-0.9,0.5,0.5,-0.0,0.6,1.5,2.0,0.4,-1.4
2017-11-29,2.0,2.6,-0.4,-1.7,-1.7,1.3,1.9,2.9,3.6,2.5,0.7
2017-11-30,-1.1,0.8,-1.1,2.0,2.0,-0.6,-0.3,0.5,1.4,0.8,-1.0
2017-12-01,0.1,0.4,-2.6,-0.4,-0.4,-0.3,-0.1,0.7,1.5,1.5,-0.3
2017-12-04,1.2,1.8,-0.4,-0.4,-0.4,0.1,0.3,0.9,1.8,2.0,0.5
2017-12-05,2.7,3.4,-0.5,-2.4,-2.4,1.9,2.4,3.0,3.9,4.4,3.1
2017-12-06,-0.7,0.6,-1.8,0.0,0.0,1.7,2.1,2.6,3.4,4.2,3.3
2017-12-07,0.9,1.2,-0.7,-0.9,-0.9,1.7,2.6,3.1,3.9,4.8,4.4
