วันที่,เปิด,สูงสุด,ต่ำสุด,ปิด,ปิดปรับ,เพิ่มขึ้น5%,เพิ่มขึ้น10%,เพิ่มขึ้น15%,เพิ่มขึ้น20%,เพิ่มขึ้น25%,เพิ่มขึ้น30
2017-10-20,-0.7,0.2,-1.7,2.0,2.0,-1.5,-1.5,-1.2,-2.1,-2.9,-3.7
2017-10-23,0.9,1.3,-0.3,-1.1,-1.1,-0.5,-0.4,-0.1,-0.8,-1.6,-2.4
2017-10-24,-0.5,0.6,-0.8,1.1,1.1,-0.9,-1.4,-1.1,-1.6,-2.4,-3.2
2017-10-25,1.8,2.0,-0.4,-1.3,-1.3,0.4,-0.2,0.2,-0.1,-1.0,-1.8
2017-10-26,0.4,0.9,-0.1,0.0,0.0,0.5,-0.1,0.1,-0.0,-0.8,-1.6
2017-10-27,-0.4,0.3,-0.8,-0.0,-0.0,0.3,0.0,-0.1,0.1,-0.6,-1.3
2017-10-30,-0.3,0.7,-0.6,-0.3,-0.3,0.5,0.3,0.2,0.4,-0.1,-0.8
2017-10-31,-0.7,0.7,-0.8,0.7,0.7,-0.3,-0.1,-0.4,-0.2,-0.5,-1.3
2017-11-01,-0.2,1.3,-0.6,0.7,0.7,-0.8,-0.7,-1.1,-0.9,-1.1,-1.8
2017-11-02,-0.9,0.3,-1.4,1.1,1.1,-1.5,-1.5,-2.0,-1.9,-2.0,-2.6
