วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-10-23,0.2,0.5,-0.4,0.2,0.2,-0.7,-1.3,-2.4,-3.3,-3.8,-4.6
2017-10-24,1.3,1.6,-1.2,5.0,5.0,-4.1,-5.2,-6.4,-7.3,-7.9,-8.7
2017-10-25,0.3,0.7,-1.5,-1.0,-1.0,-2.2,-3.6,-4.9,-5.9,-6.6,-7.3
2017-10-26,-0.0,0.9,-0.1,0.1,0.1,-1.4,-3.1,-4.4,-5.5,-6.3,-6.9
2017-10-27,-0.6,0.4,-0.7,0.6,0.6,-1.1,-3.2,-4.4,-5.6,-6.5,-7.1
2017-10-30,0.6,1.0,-0.0,-1.0,-1.0,0.6,-1.8,-3.0,-4.2,-5.2,-5.9
2017-10-31,0.5,0.6,-0.5,-0.5,-0.5,0.7,-0.9,-2.1,-3.3,-4.4,-5.1
2017-11-01,-0.5,0.7,-0.6,0.4,0.4,0.3,-0.8,-2.1,-3.3,-4.4,-5.2
2017-11-02,-0.0,0.4,-0.6,0.1,0.1,0.1,-0.5,-1.8,-3.0,-4.1,-5.0
2017-11-03,-0.1,0.2,-0.2,0.1,0.1,-0.2,-0.2,-1.6,-2.8,-3.9,-4.8
