วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-29,-4.0,0.5,-4.4,4.7,4.7,-3.1,-3.7,-2.3,-2.4,-3.6,-4.3
2017-11-30,-0.5,4.4,-0.7,0.5,0.5,-3.1,-3.6,-2.7,-2.8,-3.5,-4.5
2017-12-01,0.2,3.7,-0.5,0.5,0.5,-2.7,-3.5,-3.2,-2.7,-3.5,-4.8
2017-12-04,3.3,4.8,-1.0,-3.4,-3.4,1.4,-0.2,-0.1,1.0,0.2,-1.3
2017-12-05,1.5,3.1,0.0,-0.8,-0.8,2.4,0.7,0.3,1.5,1.0,-0.2
2017-12-06,4.0,4.5,-0.3,-3.8,-3.8,5.0,4.6,4.0,4.9,4.9,3.8
2017-12-07,1.1,3.0,-0.3,-1.9,-1.9,5.0,5.8,5.7,6.6,6.6,5.9
2017-12-08,1.6,3.3,-0.5,-0.5,-0.5,3.4,5.7,6.0,6.6,7.2,6.6
2017-12-11,-3.1,1.3,-3.1,4.1,4.1,-1.3,1.6,1.5,2.0,3.1,2.5
2017-12-12,2.1,2.4,-1.6,-0.5,-0.5,-1.4,2.0,1.9,2.1,3.2,3.0
