วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-28,-0.7,0.1,-0.9,1.0,1.0,-0.8,-1.0,-1.3,-1.6,-1.5,-1.2
2017-11-29,-0.7,0.6,-0.9,1.0,1.0,-1.4,-1.8,-2.1,-2.4,-2.4,-2.2
2017-11-30,-0.1,0.6,-0.5,0.1,0.1,-1.1,-1.7,-2.0,-2.3,-2.5,-2.2
2017-12-01,-0.2,0.4,-0.9,0.2,0.2,-0.9,-1.7,-2.0,-2.4,-2.7,-2.4
2017-12-04,1.2,1.6,-0.0,-0.8,-0.8,0.2,-0.7,-1.1,-1.5,-1.8,-1.7
2017-12-05,0.8,1.6,-0.3,-1.2,-1.2,1.3,0.6,0.2,-0.2,-0.5,-0.5
2017-12-06,0.1,0.9,-0.1,-0.2,-0.2,1.2,0.8,0.4,0.1,-0.2,-0.4
2017-12-07,0.2,0.4,-1.0,-0.2,-0.2,0.9,1.0,0.6,0.3,-0.0,-0.2
2017-12-08,-1.2,0.1,-1.2,0.7,0.7,-0.1,0.3,-0.1,-0.3,-0.6,-0.9
2017-12-11,-0.5,0.1,-1.4,1.3,1.3,-1.3,-0.8,-1.2,-1.5,-1.8,-2.1
